n	300
e	1	8
e	1	10
e	1	11
e	1	13
e	1	16
e	1	17
e	1	18
e	1	19
e	1	21
e	1	25
e	1	27
e	1	28
e	1	32
e	1	36
e	1	39
e	1	46
e	1	47
e	1	51
e	1	54
e	1	56
e	1	57
e	1	60
e	1	61
e	1	67
e	1	69
e	1	71
e	1	72
e	1	75
e	1	76
e	1	77
e	1	80
e	1	81
e	1	84
e	1	87
e	1	88
e	1	89
e	1	91
e	1	93
e	1	95
e	1	96
e	1	97
e	1	99
e	1	100
e	1	107
e	1	110
e	1	120
e	1	121
e	1	122
e	1	123
e	1	126
e	1	128
e	1	130
e	1	132
e	1	133
e	1	136
e	1	138
e	1	141
e	1	143
e	1	145
e	1	146
e	1	150
e	1	156
e	1	158
e	1	160
e	1	162
e	1	164
e	1	167
e	1	168
e	1	172
e	1	173
e	1	174
e	1	175
e	1	177
e	1	178
e	1	179
e	1	180
e	1	181
e	1	182
e	1	183
e	1	184
e	1	185
e	1	190
e	1	192
e	1	194
e	1	195
e	1	197
e	1	198
e	1	199
e	1	200
e	1	201
e	1	202
e	1	205
e	1	208
e	1	210
e	1	213
e	1	214
e	1	215
e	1	218
e	1	220
e	1	222
e	1	223
e	1	224
e	1	225
e	1	226
e	1	227
e	1	228
e	1	230
e	1	231
e	1	234
e	1	235
e	1	236
e	1	238
e	1	240
e	1	241
e	1	242
e	1	247
e	1	248
e	1	249
e	1	254
e	1	255
e	1	256
e	1	259
e	1	264
e	1	272
e	1	277
e	1	278
e	1	279
e	1	280
e	1	289
e	1	291
e	1	293
e	1	294
e	1	297
e	1	298
e	1	299
e	2	3
e	2	4
e	2	5
e	2	7
e	2	9
e	2	10
e	2	12
e	2	13
e	2	14
e	2	15
e	2	16
e	2	18
e	2	21
e	2	24
e	2	25
e	2	26
e	2	27
e	2	29
e	2	33
e	2	35
e	2	38
e	2	43
e	2	45
e	2	46
e	2	48
e	2	50
e	2	51
e	2	55
e	2	56
e	2	57
e	2	58
e	2	60
e	2	63
e	2	68
e	2	70
e	2	72
e	2	73
e	2	77
e	2	78
e	2	79
e	2	81
e	2	82
e	2	83
e	2	86
e	2	87
e	2	89
e	2	91
e	2	94
e	2	97
e	2	98
e	2	103
e	2	104
e	2	106
e	2	110
e	2	112
e	2	113
e	2	114
e	2	115
e	2	123
e	2	126
e	2	128
e	2	130
e	2	131
e	2	133
e	2	134
e	2	136
e	2	138
e	2	139
e	2	140
e	2	151
e	2	152
e	2	155
e	2	156
e	2	157
e	2	158
e	2	159
e	2	167
e	2	168
e	2	170
e	2	171
e	2	175
e	2	181
e	2	184
e	2	187
e	2	189
e	2	190
e	2	191
e	2	197
e	2	198
e	2	199
e	2	200
e	2	201
e	2	202
e	2	204
e	2	205
e	2	206
e	2	207
e	2	208
e	2	210
e	2	211
e	2	212
e	2	213
e	2	214
e	2	215
e	2	216
e	2	217
e	2	218
e	2	219
e	2	227
e	2	228
e	2	229
e	2	231
e	2	232
e	2	234
e	2	239
e	2	246
e	2	247
e	2	248
e	2	249
e	2	252
e	2	255
e	2	257
e	2	260
e	2	261
e	2	262
e	2	263
e	2	265
e	2	267
e	2	268
e	2	269
e	2	271
e	2	273
e	2	274
e	2	275
e	2	280
e	2	283
e	2	284
e	2	288
e	2	289
e	2	291
e	2	292
e	2	293
e	2	294
e	2	295
e	2	300
e	3	7
e	3	13
e	3	15
e	3	18
e	3	21
e	3	22
e	3	25
e	3	26
e	3	29
e	3	30
e	3	31
e	3	32
e	3	33
e	3	34
e	3	37
e	3	40
e	3	42
e	3	43
e	3	46
e	3	49
e	3	51
e	3	54
e	3	58
e	3	61
e	3	62
e	3	63
e	3	64
e	3	67
e	3	68
e	3	69
e	3	70
e	3	71
e	3	78
e	3	79
e	3	80
e	3	84
e	3	86
e	3	87
e	3	88
e	3	89
e	3	90
e	3	91
e	3	92
e	3	93
e	3	94
e	3	97
e	3	98
e	3	102
e	3	105
e	3	108
e	3	109
e	3	110
e	3	112
e	3	114
e	3	128
e	3	130
e	3	131
e	3	133
e	3	136
e	3	139
e	3	140
e	3	142
e	3	143
e	3	144
e	3	146
e	3	148
e	3	150
e	3	151
e	3	156
e	3	157
e	3	160
e	3	168
e	3	170
e	3	172
e	3	179
e	3	180
e	3	182
e	3	183
e	3	188
e	3	189
e	3	193
e	3	195
e	3	196
e	3	198
e	3	203
e	3	204
e	3	205
e	3	206
e	3	211
e	3	212
e	3	214
e	3	216
e	3	217
e	3	218
e	3	219
e	3	220
e	3	223
e	3	224
e	3	228
e	3	230
e	3	236
e	3	238
e	3	241
e	3	242
e	3	243
e	3	245
e	3	246
e	3	249
e	3	252
e	3	253
e	3	255
e	3	259
e	3	261
e	3	262
e	3	266
e	3	268
e	3	273
e	3	276
e	3	278
e	3	279
e	3	286
e	3	290
e	3	296
e	3	297
e	3	299
e	3	300
e	4	6
e	4	7
e	4	8
e	4	9
e	4	10
e	4	11
e	4	13
e	4	16
e	4	17
e	4	19
e	4	20
e	4	21
e	4	23
e	4	24
e	4	25
e	4	27
e	4	31
e	4	32
e	4	33
e	4	36
e	4	39
e	4	41
e	4	42
e	4	47
e	4	48
e	4	50
e	4	51
e	4	60
e	4	61
e	4	65
e	4	66
e	4	67
e	4	68
e	4	70
e	4	72
e	4	77
e	4	81
e	4	86
e	4	87
e	4	89
e	4	92
e	4	93
e	4	94
e	4	101
e	4	103
e	4	104
e	4	105
e	4	106
e	4	107
e	4	108
e	4	110
e	4	112
e	4	113
e	4	114
e	4	116
e	4	117
e	4	119
e	4	121
e	4	122
e	4	124
e	4	127
e	4	128
e	4	129
e	4	130
e	4	131
e	4	137
e	4	138
e	4	139
e	4	141
e	4	144
e	4	148
e	4	150
e	4	151
e	4	153
e	4	156
e	4	157
e	4	158
e	4	160
e	4	161
e	4	162
e	4	163
e	4	165
e	4	168
e	4	169
e	4	170
e	4	171
e	4	172
e	4	173
e	4	174
e	4	175
e	4	176
e	4	177
e	4	178
e	4	179
e	4	180
e	4	182
e	4	183
e	4	189
e	4	191
e	4	196
e	4	197
e	4	198
e	4	199
e	4	200
e	4	204
e	4	205
e	4	207
e	4	211
e	4	212
e	4	214
e	4	215
e	4	218
e	4	219
e	4	220
e	4	221
e	4	222
e	4	223
e	4	226
e	4	227
e	4	228
e	4	231
e	4	232
e	4	233
e	4	234
e	4	235
e	4	239
e	4	240
e	4	243
e	4	246
e	4	247
e	4	249
e	4	250
e	4	253
e	4	256
e	4	257
e	4	259
e	4	260
e	4	264
e	4	266
e	4	267
e	4	268
e	4	271
e	4	273
e	4	275
e	4	279
e	4	280
e	4	282
e	4	284
e	4	287
e	4	298
e	4	299
e	5	6
e	5	7
e	5	9
e	5	14
e	5	15
e	5	17
e	5	19
e	5	22
e	5	23
e	5	25
e	5	27
e	5	31
e	5	32
e	5	34
e	5	35
e	5	39
e	5	40
e	5	42
e	5	43
e	5	44
e	5	47
e	5	50
e	5	51
e	5	52
e	5	58
e	5	59
e	5	60
e	5	64
e	5	66
e	5	67
e	5	68
e	5	69
e	5	71
e	5	73
e	5	74
e	5	75
e	5	76
e	5	77
e	5	78
e	5	79
e	5	81
e	5	84
e	5	85
e	5	87
e	5	88
e	5	90
e	5	92
e	5	97
e	5	99
e	5	103
e	5	106
e	5	107
e	5	112
e	5	113
e	5	114
e	5	115
e	5	118
e	5	123
e	5	124
e	5	125
e	5	130
e	5	134
e	5	139
e	5	140
e	5	141
e	5	142
e	5	143
e	5	144
e	5	146
e	5	148
e	5	149
e	5	150
e	5	152
e	5	155
e	5	157
e	5	158
e	5	164
e	5	165
e	5	166
e	5	167
e	5	168
e	5	171
e	5	172
e	5	173
e	5	176
e	5	178
e	5	181
e	5	184
e	5	185
e	5	186
e	5	188
e	5	190
e	5	191
e	5	193
e	5	194
e	5	195
e	5	196
e	5	199
e	5	200
e	5	201
e	5	203
