n	200
e	1	2
e	1	4
e	1	6
e	1	12
e	1	13
e	1	16
e	1	18
e	1	20
e	1	22
e	1	23
e	1	24
e	1	28
e	1	30
e	1	35
e	1	40
e	1	44
e	1	45
e	1	48
e	1	51
e	1	52
e	1	53
e	1	58
e	1	62
e	1	65
e	1	66
e	1	68
e	1	69
e	1	71
e	1	72
e	1	73
e	1	74
e	1	75
e	1	76
e	1	78
e	1	81
e	1	82
e	1	85
e	1	86
e	1	89
e	1	92
e	1	97
e	1	102
e	1	103
e	1	105
e	1	106
e	1	108
e	1	111
e	1	114
e	1	116
e	1	119
e	1	129
e	1	131
e	1	133
e	1	134
e	1	137
e	1	139
e	1	141
e	1	143
e	1	144
e	1	145
e	1	150
e	1	151
e	1	155
e	1	156
e	1	157
e	1	158
e	1	160
e	1	161
e	1	162
e	1	164
e	1	165
e	1	166
e	1	171
e	1	172
e	1	178
e	1	179
e	1	180
e	1	183
e	1	184
e	1	186
e	1	187
e	1	191
e	1	197
e	1	199
e	2	4
e	2	5
e	2	8
e	2	10
e	2	15
e	2	16
e	2	17
e	2	24
e	2	28
e	2	29
e	2	32
e	2	33
e	2	34
e	2	35
e	2	39
e	2	42
e	2	43
e	2	44
e	2	46
e	2	51
e	2	53
e	2	63
e	2	65
e	2	68
e	2	70
e	2	72
e	2	76
e	2	77
e	2	79
e	2	81
e	2	82
e	2	83
e	2	88
e	2	92
e	2	93
e	2	95
e	2	99
e	2	100
e	2	101
e	2	108
e	2	113
e	2	115
e	2	117
e	2	120
e	2	122
e	2	123
e	2	124
e	2	126
e	2	129
e	2	131
e	2	132
e	2	133
e	2	135
e	2	137
e	2	138
e	2	139
e	2	142
e	2	143
e	2	146
e	2	147
e	2	150
e	2	152
e	2	153
e	2	154
e	2	162
e	2	163
e	2	165
e	2	166
e	2	168
e	2	171
e	2	173
e	2	177
e	2	178
e	2	179
e	2	180
e	2	181
e	2	185
e	2	186
e	2	187
e	2	188
e	2	190
e	2	194
e	2	197
e	2	199
e	3	5
e	3	7
e	3	9
e	3	10
e	3	12
e	3	15
e	3	19
e	3	20
e	3	22
e	3	24
e	3	25
e	3	26
e	3	27
e	3	28
e	3	30
e	3	31
e	3	32
e	3	34
e	3	36
e	3	38
e	3	39
e	3	40
e	3	42
e	3	45
e	3	46
e	3	51
e	3	54
e	3	55
e	3	60
e	3	63
e	3	64
e	3	65
e	3	66
e	3	69
e	3	70
e	3	71
e	3	72
e	3	75
e	3	77
e	3	83
e	3	85
e	3	86
e	3	88
e	3	93
e	3	95
e	3	102
e	3	103
e	3	104
e	3	106
e	3	109
e	3	111
e	3	112
e	3	113
e	3	114
e	3	115
e	3	119
e	3	123
e	3	125
e	3	128
e	3	129
e	3	130
e	3	131
e	3	134
e	3	135
e	3	140
e	3	142
e	3	144
e	3	151
e	3	153
e	3	154
e	3	155
e	3	156
e	3	157
e	3	158
e	3	159
e	3	160
e	3	161
e	3	162
e	3	163
e	3	164
e	3	166
e	3	167
e	3	168
e	3	173
e	3	176
e	3	177
e	3	179
e	3	180
e	3	182
e	3	186
e	3	187
e	3	189
e	3	190
e	3	191
e	3	192
e	3	195
e	3	198
e	3	199
e	4	8
e	4	12
e	4	13
e	4	14
e	4	20
e	4	22
e	4	25
e	4	27
e	4	30
e	4	31
e	4	33
e	4	34
e	4	35
e	4	36
e	4	37
e	4	38
e	4	39
e	4	40
e	4	41
e	4	42
e	4	43
e	4	44
e	4	45
e	4	46
e	4	48
e	4	49
e	4	52
e	4	54
e	4	55
e	4	58
e	4	59
e	4	61
e	4	63
e	4	67
e	4	68
e	4	69
e	4	74
e	4	75
e	4	76
e	4	77
e	4	78
e	4	80
e	4	81
e	4	85
e	4	88
e	4	90
e	4	92
e	4	93
e	4	94
e	4	95
e	4	96
e	4	100
e	4	101
e	4	102
e	4	103
e	4	104
e	4	106
e	4	107
e	4	109
e	4	110
e	4	112
e	4	113
e	4	114
e	4	115
e	4	117
e	4	119
e	4	120
e	4	123
e	4	124
e	4	125
e	4	126
e	4	127
e	4	128
e	4	131
e	4	132
e	4	134
e	4	135
e	4	137
e	4	138
e	4	142
e	4	143
e	4	144
e	4	147
e	4	148
e	4	149
e	4	150
e	4	151
e	4	153
e	4	154
e	4	155
e	4	158
e	4	160
e	4	161
e	4	162
e	4	163
e	4	164
e	4	167
e	4	168
e	4	170
e	4	173
e	4	174
e	4	177
e	4	178
e	4	184
e	4	185
e	4	186
e	4	187
e	4	189
e	4	192
e	4	195
e	4	196
e	4	197
e	4	198
e	4	199
e	4	200
e	5	8
e	5	9
e	5	10
e	5	12
e	5	13
e	5	14
e	5	15
e	5	18
e	5	19
e	5	20
e	5	21
e	5	22
e	5	23
e	5	25
e	5	26
e	5	28
e	5	29
e	5	30
e	5	31
e	5	32
e	5	33
e	5	34
e	5	37
e	5	38
e	5	39
e	5	40
e	5	41
e	5	42
e	5	44
e	5	45
e	5	46
e	5	49
e	5	54
e	5	55
e	5	60
e	5	64
e	5	65
e	5	67
e	5	69
e	5	70
e	5	72
e	5	76
e	5	78
e	5	81
e	5	84
e	5	85
