n	200
o	0	6.8
o	1	5.5
o	2	3.6
o	3	9.7
o	4	7.4
o	5	4.1
o	6	4.2
o	7	8.7
o	8	2.4
o	9	5.9
o	10	8.3
o	11	3.7
o	12	5.7
o	13	7.1
o	14	6.5
o	15	4.2
o	16	4.0
o	17	8.0
o	18	4.7
o	19	7.8
o	20	2.8
o	21	9.5
o	22	5.6
o	23	3.4
o	24	6.3
o	25	9.7
o	26	2.6
o	27	4.8
o	28	4.8
o	29	3.8
o	30	6.7
o	31	4.7
o	32	6.1
o	33	4.9
o	34	7.9
o	35	2.7
o	36	6.9
o	37	3.9
o	38	7.5
o	39	3.0
o	40	7.8
o	41	6.2
o	42	6.5
o	43	6.2
o	44	2.0
o	45	3.1
o	46	3.8
o	47	7.3
o	48	4.1
o	49	9.2
o	50	5.8
o	51	10.0
o	52	7.3
o	53	4.5
o	54	8.6
o	55	7.4
o	56	5.4
o	57	2.8
o	58	5.4
o	59	3.8
o	60	5.6
o	61	2.2
o	62	9.5
o	63	3.2
o	64	6.0
o	65	2.9
o	66	5.6
o	67	2.1
o	68	9.9
o	69	3.2
o	70	9.6
o	71	8.5
o	72	7.6
o	73	2.6
o	74	3.2
o	75	9.2
o	76	4.2
o	77	8.6
o	78	4.1
o	79	3.9
o	80	9.4
o	81	3.5
o	82	4.1
o	83	5.7
o	84	3.4
o	85	2.0
o	86	3.1
o	87	8.8
o	88	3.9
o	89	3.1
o	90	4.3
o	91	6.5
o	92	6.8
o	93	4.8
o	94	9.7
o	95	5.9
o	96	4.0
o	97	2.5
o	98	3.9
o	99	6.5
o	100	4.7
o	101	5.2
o	102	6.2
o	103	5.1
o	104	3.4
o	105	3.0
o	106	8.7
o	107	5.1
o	108	7.7
o	109	9.0
o	110	7.3
o	111	4.8
o	112	2.1
o	113	4.7
o	114	7.3
o	115	9.4
o	116	3.6
o	117	4.5
o	118	9.2
o	119	9.7
o	120	4.5
o	121	7.9
o	122	5.6
o	123	7.9
o	124	6.5
o	125	2.2
o	126	10.0
o	127	5.2
o	128	2.8
o	129	7.6
o	130	5.7
o	131	4.3
o	132	9.8
o	133	4.2
o	134	2.5
o	135	5.5
o	136	8.8
o	137	3.5
o	138	4.3
o	139	2.3
o	140	8.2
o	141	2.0
o	142	5.0
o	143	2.4
o	144	3.4
o	145	9.1
o	146	4.7
o	147	6.9
o	148	4.5
o	149	5.5
o	150	3.9
o	151	2.9
o	152	9.5
o	153	5.5
o	154	8.0
o	155	8.4
o	156	6.9
o	157	2.4
o	158	2.8
o	159	4.3
o	160	5.1
o	161	4.0
o	162	3.0
o	163	4.1
o	164	6.3
o	165	5.0
o	166	4.5
o	167	2.3
o	168	3.4
o	169	5.4
o	170	5.2
o	171	6.2
o	172	2.9
o	173	2.3
o	174	10.0
o	175	3.4
o	176	9.3
o	177	7.1
o	178	4.7
o	179	5.4
o	180	7.2
o	181	4.6
o	182	8.8
o	183	3.8
o	184	3.8
o	185	4.9
o	186	8.8
o	187	7.9
o	188	2.1
o	189	5.8
o	190	6.4
o	191	7.7
o	192	9.2
o	193	6.1
o	194	9.0
o	195	8.7
o	196	6.6
o	197	6.7
o	198	2.6
o	199	5.5
