n	200
c	1	14
c	2	18
c	3	13
c	4	16
c	5	14
c	6	19
c	7	14
c	8	11
c	9	13
c	10	20
c	11	17
c	12	11
c	13	12
c	14	18
c	15	13
c	16	17
c	17	18
c	18	16
c	19	17
c	20	18
c	21	15
c	22	13
c	23	18
c	24	20
c	25	19
c	26	14
c	27	18
c	28	12
c	29	16
c	30	17
c	31	16
c	32	10
c	33	10
c	34	16
c	35	11
c	36	16
c	37	17
c	38	17
c	39	11
c	40	15
c	41	15
c	42	20
c	43	10
c	44	11
c	45	18
c	46	10
c	47	14
c	48	20
c	49	12
c	50	17
c	51	11
c	52	13
c	53	14
c	54	13
c	55	14
c	56	14
c	57	19
c	58	17
c	59	14
c	60	18
c	61	10
c	62	20
c	63	11
c	64	15
c	65	14
c	66	16
c	67	17
c	68	12
c	69	10
c	70	11
c	71	19
c	72	14
c	73	14
c	74	16
c	75	16
c	76	15
c	77	13
c	78	16
c	79	14
c	80	13
c	81	18
c	82	16
c	83	10
c	84	13
c	85	14
c	86	20
c	87	12
c	88	20
c	89	12
c	90	12
c	91	14
c	92	13
c	93	19
c	94	16
c	95	13
c	96	15
c	97	16
c	98	18
c	99	13
c	100	16
c	101	15
c	102	11
c	103	16
c	104	17
c	105	11
c	106	10
c	107	13
c	108	15
c	109	18
c	110	15
c	111	18
c	112	14
c	113	12
c	114	20
c	115	13
c	116	15
c	117	15
c	118	12
c	119	20
c	120	14
c	121	17
c	122	20
c	123	15
c	124	19
c	125	18
c	126	17
c	127	15
c	128	13
c	129	12
c	130	11
c	131	18
c	132	11
c	133	11
c	134	16
c	135	18
c	136	14
c	137	14
c	138	18
c	139	15
c	140	19
c	141	20
c	142	14
c	143	10
c	144	18
c	145	18
c	146	19
c	147	15
c	148	16
c	149	18
c	150	19
c	151	18
c	152	10
c	153	11
c	154	13
c	155	20
c	156	15
c	157	18
c	158	13
c	159	15
c	160	12
c	161	12
c	162	14
c	163	14
c	164	15
c	165	10
c	166	17
c	167	11
c	168	11
c	169	20
c	170	19
c	171	18
c	172	14
c	173	14
c	174	12
c	175	15
c	176	15
c	177	18
c	178	19
c	179	15
c	180	12
c	181	12
c	182	12
c	183	18
c	184	17
c	185	11
c	186	14
c	187	19
c	188	19
c	189	20
c	190	13
c	191	16
c	192	18
c	193	19
c	194	19
c	195	12
c	196	14
c	197	19
c	198	17
c	199	19
c	200	10
d	1	126
d	2	131
d	3	108
d	4	157
d	5	189
d	6	188
d	7	110
d	8	160
d	9	130
d	10	142
d	11	155
d	12	151
d	13	129
d	14	199
d	15	194
d	16	104
d	17	176
d	18	155
d	19	194
d	20	158
d	21	123
d	22	188
d	23	190
d	24	102
d	25	125
d	26	131
d	27	184
d	28	162
d	29	121
d	30	158
d	31	131
d	32	117
d	33	173
d	34	176
d	35	198
d	36	158
d	37	153
d	38	175
d	39	184
d	40	177
d	41	194
d	42	162
d	43	152
d	44	110
d	45	126
d	46	168
d	47	149
d	48	176
d	49	184
d	50	200
d	51	191
d	52	121
d	53	198
d	54	115
d	55	174
d	56	116
d	57	132
d	58	180
d	59	121
d	60	128
d	61	109
d	62	196
d	63	123
d	64	104
d	65	117
d	66	162
d	67	159
d	68	104
d	69	125
d	70	191
d	71	139
d	72	183
d	73	128
d	74	156
d	75	183
d	76	164
d	77	115
d	78	184
d	79	123
d	80	156
d	81	136
d	82	200
d	83	122
d	84	140
d	85	185
d	86	138
d	87	116
d	88	194
d	89	135
d	90	158
d	91	119
d	92	157
d	93	146
d	94	136
d	95	117
d	96	186
d	97	113
d	98	193
d	99	120
d	100	130
d	101	143
d	102	175
d	103	103
d	104	100
d	105	187
d	106	176
d	107	187
d	108	166
d	109	128
d	110	137
d	111	106
d	112	106
d	113	159
d	114	149
d	115	171
d	116	198
d	117	194
d	118	170
d	119	126
d	120	153
d	121	138
d	122	101
d	123	147
d	124	182
d	125	124
d	126	178
d	127	144
d	128	133
d	129	198
d	130	180
d	131	156
d	132	199
d	133	188
d	134	188
d	135	150
d	136	192
d	137	109
d	138	132
d	139	103
d	140	118
d	141	105
d	142	100
d	143	197
d	144	198
d	145	103
d	146	152
d	147	193
d	148	113
d	149	123
d	150	174
d	151	189
d	152	109
d	153	140
d	154	182
d	155	182
d	156	112
d	157	155
d	158	127
d	159	173
d	160	159
d	161	113
d	162	185
d	163	132
d	164	127
d	165	100
d	166	106
d	167	152
d	168	154
d	169	101
d	170	108
d	171	163
d	172	161
d	173	109
d	174	185
d	175	155
d	176	190
d	177	141
d	178	176
d	179	157
d	180	183
d	181	131
d	182	190
d	183	130
d	184	197
d	185	125
d	186	101
d	187	114
d	188	115
d	189	123
d	190	196
d	191	159
d	192	173
d	193	200
d	194	171
d	195	155
d	196	178
d	197	117
d	198	175
d	199	146
d	200	100
s	1	7
s	2	5
s	3	1
s	4	6
s	5	10
s	6	4
s	7	4
s	8	10
s	9	2
s	10	4
s	11	3
s	12	2
s	13	10
s	14	3
s	15	5
s	16	6
s	17	2
s	18	1
s	19	9
s	20	8
s	21	8
s	22	5
s	23	2
s	24	3
s	25	6
s	26	4
s	27	7
s	28	9
s	29	3
s	30	5
s	31	2
s	32	2
s	33	2
s	34	2
s	35	4
s	36	2
s	37	4
s	38	1
s	39	4
s	40	1
s	41	3
s	42	9
s	43	5
s	44	6
s	45	7
s	46	1
s	47	8
s	48	2
s	49	8
s	50	3
s	51	4
s	52	9
s	53	10
s	54	1
s	55	4
s	56	10
s	57	3
s	58	9
s	59	2
s	60	7
s	61	9
s	62	5
s	63	3
s	64	6
s	65	3
s	66	6
s	67	5
s	68	4
s	69	9
s	70	10
s	71	3
s	72	6
s	73	9
s	74	5
s	75	8
s	76	1
s	77	5
s	78	8
s	79	4
s	80	7
s	81	1
s	82	5
s	83	10
s	84	9
s	85	8
s	86	7
