n	300
o	0	8.1
o	1	8.4
o	2	3.1
o	3	2.3
o	4	7.9
o	5	5.4
o	6	8.0
o	7	7.6
o	8	3.6
o	9	9.3
o	10	6.4
o	11	9.2
o	12	5.1
o	13	5.8
o	14	3.2
o	15	2.1
o	16	7.6
o	17	6.2
o	18	5.2
o	19	9.9
o	20	5.6
o	21	8.2
o	22	5.7
o	23	9.3
o	24	10.0
o	25	3.3
o	26	3.4
o	27	5.1
o	28	4.2
o	29	5.1
o	30	3.0
o	31	8.8
o	32	4.6
o	33	4.6
o	34	6.8
o	35	8.1
o	36	6.7
o	37	9.5
o	38	5.1
o	39	6.2
o	40	3.3
o	41	10.0
o	42	3.5
o	43	8.0
o	44	5.6
o	45	6.4
o	46	9.6
o	47	5.6
o	48	5.9
o	49	9.6
o	50	8.3
o	51	7.4
o	52	9.0
o	53	4.0
o	54	3.4
o	55	5.0
o	56	4.1
o	57	7.5
o	58	2.3
o	59	10.0
o	60	3.0
o	61	5.6
o	62	7.4
o	63	7.8
o	64	4.3
o	65	8.2
o	66	2.7
o	67	6.0
o	68	5.1
o	69	6.7
o	70	9.6
o	71	6.7
o	72	4.1
o	73	6.6
o	74	3.1
o	75	6.0
o	76	9.1
o	77	5.2
o	78	4.0
o	79	4.1
o	80	5.5
o	81	2.1
o	82	8.9
o	83	4.8
o	84	5.7
o	85	8.2
o	86	7.3
o	87	3.0
o	88	2.3
o	89	7.8
o	90	8.9
o	91	2.1
o	92	4.9
o	93	3.0
o	94	6.1
o	95	9.3
o	96	2.5
o	97	4.2
o	98	2.4
o	99	7.7
o	100	5.4
o	101	9.2
o	102	7.4
o	103	2.2
o	104	4.2
o	105	4.9
o	106	7.6
o	107	4.1
o	108	5.0
o	109	5.4
o	110	4.5
o	111	5.4
o	112	7.7
o	113	5.1
o	114	3.2
o	115	4.7
o	116	4.9
o	117	10.0
o	118	8.5
o	119	7.0
o	120	3.8
o	121	7.9
o	122	6.9
o	123	2.1
o	124	7.1
o	125	6.5
o	126	5.4
o	127	9.0
o	128	6.0
o	129	7.5
o	130	8.5
o	131	9.4
o	132	4.0
o	133	5.0
o	134	2.3
o	135	3.4
o	136	3.9
o	137	4.6
o	138	2.2
o	139	6.1
o	140	6.1
o	141	9.3
o	142	7.4
o	143	8.8
o	144	5.9
o	145	5.8
o	146	4.3
o	147	2.3
o	148	8.0
o	149	10.0
o	150	2.8
o	151	3.5
o	152	9.8
o	153	6.4
o	154	3.2
o	155	7.2
o	156	6.9
o	157	7.1
o	158	6.3
o	159	5.4
o	160	4.6
o	161	2.9
o	162	5.3
o	163	3.8
o	164	5.5
o	165	4.6
o	166	4.6
o	167	8.6
o	168	2.5
o	169	4.8
o	170	3.0
o	171	6.3
o	172	6.5
o	173	7.6
o	174	9.1
o	175	10.0
o	176	5.1
o	177	7.2
o	178	4.9
o	179	3.8
o	180	6.9
o	181	9.1
o	182	10.0
o	183	7.2
o	184	6.7
o	185	7.8
o	186	2.5
o	187	10.0
o	188	4.1
o	189	2.3
o	190	5.9
o	191	6.8
o	192	5.7
o	193	7.2
o	194	6.5
o	195	2.1
o	196	9.1
o	197	5.9
o	198	8.5
o	199	7.4
o	200	2.2
o	201	7.5
o	202	2.4
o	203	8.7
o	204	8.9
o	205	3.1
o	206	4.4
o	207	9.7
o	208	9.5
o	209	2.1
o	210	6.7
o	211	2.2
o	212	2.5
o	213	2.3
o	214	5.8
o	215	6.7
o	216	4.4
o	217	4.7
o	218	9.7
o	219	4.2
o	220	5.8
o	221	8.2
o	222	2.6
o	223	7.7
o	224	8.7
o	225	3.4
o	226	2.0
o	227	7.9
o	228	3.0
o	229	2.2
o	230	5.3
o	231	2.4
o	232	7.1
o	233	9.0
o	234	9.6
o	235	4.2
o	236	9.3
o	237	6.0
o	238	6.6
o	239	9.5
o	240	4.2
o	241	3.9
o	242	8.2
o	243	4.8
o	244	3.2
o	245	3.2
o	246	3.8
o	247	3.7
o	248	8.9
o	249	8.0
o	250	4.2
o	251	7.4
o	252	5.1
o	253	2.2
o	254	8.5
o	255	8.0
o	256	4.8
o	257	4.0
o	258	3.1
o	259	2.2
o	260	5.3
o	261	2.5
o	262	10.0
o	263	7.7
o	264	6.7
o	265	5.7
o	266	4.1
o	267	3.2
o	268	5.2
o	269	4.3
o	270	9.9
o	271	8.4
o	272	9.1
o	273	9.6
o	274	7.8
o	275	5.7
o	276	4.6
o	277	7.1
o	278	7.8
o	279	8.4
o	280	9.5
o	281	9.5
o	282	2.8
o	283	3.0
o	284	9.7
o	285	5.5
o	286	2.4
o	287	6.2
o	288	2.1
o	289	9.3
o	290	3.7
o	291	3.8
o	292	9.9
o	293	2.4
o	294	5.6
o	295	7.1
o	296	8.9
o	297	8.5
o	298	9.2
o	299	7.4
