n	300
c	1	18
c	2	11
c	3	17
c	4	13
c	5	17
c	6	16
c	7	11
c	8	16
c	9	19
c	10	20
c	11	11
c	12	13
c	13	12
c	14	13
c	15	19
c	16	12
c	17	17
c	18	12
c	19	10
c	20	19
c	21	17
c	22	20
c	23	18
c	24	18
c	25	13
c	26	11
c	27	11
c	28	13
c	29	14
c	30	19
c	31	20
c	32	12
c	33	16
c	34	11
c	35	12
c	36	15
c	37	16
c	38	19
c	39	12
c	40	15
c	41	15
c	42	11
c	43	20
c	44	10
c	45	11
c	46	12
c	47	18
c	48	11
c	49	14
c	50	20
c	51	11
c	52	17
c	53	10
c	54	19
c	55	18
c	56	11
c	57	11
c	58	13
c	59	11
c	60	11
c	61	13
c	62	15
c	63	10
c	64	17
c	65	13
c	66	19
c	67	20
c	68	16
c	69	14
c	70	11
c	71	19
c	72	17
c	73	11
c	74	20
c	75	15
c	76	13
c	77	11
c	78	13
c	79	13
c	80	20
c	81	20
c	82	14
c	83	13
c	84	12
c	85	15
c	86	19
c	87	18
c	88	11
c	89	20
c	90	14
c	91	19
c	92	11
c	93	15
c	94	10
c	95	19
c	96	14
c	97	17
c	98	11
c	99	12
c	100	18
c	101	12
c	102	20
c	103	19
c	104	14
c	105	11
c	106	15
c	107	16
c	108	10
c	109	15
c	110	15
c	111	10
c	112	20
c	113	16
c	114	10
c	115	11
c	116	19
c	117	11
c	118	11
c	119	17
c	120	13
c	121	17
c	122	15
c	123	14
c	124	15
c	125	14
c	126	16
c	127	12
c	128	11
c	129	14
c	130	10
c	131	18
c	132	16
c	133	11
c	134	15
c	135	18
c	136	19
c	137	12
c	138	15
c	139	17
c	140	14
c	141	17
c	142	15
c	143	15
c	144	14
c	145	12
c	146	15
c	147	12
c	148	14
c	149	20
c	150	11
c	151	20
c	152	17
c	153	11
c	154	19
c	155	11
c	156	19
c	157	12
c	158	17
c	159	20
c	160	13
c	161	10
c	162	16
c	163	15
c	164	10
c	165	18
c	166	10
c	167	17
c	168	14
c	169	14
c	170	18
c	171	12
c	172	14
c	173	18
c	174	11
c	175	10
c	176	12
c	177	18
c	178	19
c	179	17
c	180	20
c	181	11
c	182	20
c	183	18
c	184	12
c	185	19
c	186	15
c	187	14
c	188	18
c	189	10
c	190	14
c	191	20
c	192	16
c	193	19
c	194	19
c	195	10
c	196	13
c	197	10
c	198	16
c	199	20
c	200	16
c	201	10
c	202	11
c	203	11
c	204	15
c	205	16
c	206	20
c	207	17
c	208	14
c	209	17
c	210	16
c	211	11
c	212	16
c	213	11
