n	100
o	0	5.0
o	1	2.9
o	2	6.3
o	3	2.7
o	4	3.8
o	5	7.1
o	6	5.7
o	7	2.9
o	8	4.5
o	9	6.2
o	10	5.7
o	11	6.3
o	12	2.1
o	13	6.1
o	14	3.0
o	15	3.4
o	16	2.7
o	17	2.9
o	18	7.0
o	19	7.6
o	20	3.8
o	21	8.5
o	22	8.5
o	23	6.1
o	24	3.5
o	25	6.2
o	26	2.1
o	27	9.7
o	28	5.2
o	29	3.8
o	30	5.8
o	31	4.3
o	32	6.2
o	33	8.7
o	34	9.8
o	35	9.8
o	36	7.5
o	37	3.2
o	38	6.2
o	39	7.6
o	40	5.0
o	41	5.8
o	42	9.4
o	43	9.1
o	44	5.8
o	45	9.7
o	46	8.4
o	47	7.9
o	48	2.8
o	49	3.0
o	50	4.4
o	51	5.1
o	52	4.7
o	53	4.0
o	54	7.2
o	55	5.4
o	56	9.6
o	57	3.8
o	58	6.1
o	59	4.3
o	60	6.3
o	61	7.5
o	62	4.3
o	63	8.8
o	64	2.6
o	65	3.6
o	66	3.2
o	67	8.3
o	68	8.0
o	69	4.2
o	70	5.0
o	71	4.0
o	72	3.3
o	73	4.0
o	74	9.9
o	75	8.8
o	76	6.9
o	77	9.6
o	78	5.6
o	79	2.9
o	80	8.4
o	81	8.1
o	82	2.6
o	83	7.7
o	84	5.1
o	85	9.5
o	86	6.5
o	87	4.4
o	88	6.4
o	89	10.0
o	90	6.4
o	91	3.4
o	92	2.2
o	93	8.3
o	94	9.9
o	95	6.1
o	96	6.0
o	97	8.4
o	98	2.8
o	99	4.5
