n	100
e	1	2	-85
e	1	3	10
e	1	5	99
e	1	6	55
e	1	7	-64
e	1	8	-27
e	1	9	-100
e	1	10	-54
e	1	15	-74
e	1	18	-20
e	1	23	31
e	1	24	-45
e	1	29	-92
e	1	31	-27
e	1	33	72
e	1	35	-94
e	1	36	71
e	1	37	-47
e	1	39	42
e	1	42	80
e	1	43	37
e	1	46	67
e	1	48	-41
e	1	51	5
e	1	53	91
e	1	55	85
e	1	59	-23
e	1	60	87
e	1	63	-58
e	1	66	-20
e	1	68	78
e	1	69	19
e	1	74	-86
e	1	75	-40
e	1	76	67
e	1	77	-84
e	1	81	26
e	1	83	-90
e	1	88	95
e	1	89	-27
e	1	92	-40
e	1	93	30
e	1	94	-11
e	1	96	94
e	1	99	64
e	2	3	-6
e	2	4	-77
e	2	7	-30
e	2	8	56
e	2	9	95
e	2	11	1
e	2	12	-24
e	2	13	91
e	2	15	-88
e	2	17	-92
e	2	18	-2
e	2	19	-58
e	2	20	5
e	2	23	-79
e	2	28	-68
e	2	30	72
e	2	31	-31
e	2	32	82
e	2	34	-23
e	2	36	-70
e	2	39	40
e	2	40	-61
e	2	41	21
e	2	42	-6
e	2	47	-1
e	2	49	-49
e	2	50	78
e	2	53	89
e	2	54	94
e	2	55	40
e	2	56	-22
e	2	58	97
e	2	66	27
e	2	68	6
e	2	71	-81
e	2	72	-20
e	2	75	29
e	2	76	100
e	2	79	-50
e	2	80	70
e	2	81	-63
e	2	82	3
e	2	83	15
e	2	87	16
e	2	89	94
e	2	90	-6
e	2	91	-12
e	2	92	-100
e	2	93	-11
e	2	94	-5
e	2	97	68
e	3	7	94
e	3	9	21
e	3	11	-63
e	3	12	-13
e	3	13	-100
e	3	14	5
e	3	16	-28
e	3	17	73
e	3	18	-69
e	3	19	8
e	3	22	28
e	3	23	8
e	3	24	-69
e	3	27	79
e	3	29	47
e	3	32	-31
e	3	33	61
e	3	36	55
e	3	37	-15
e	3	38	86
e	3	39	-70
e	3	40	-18
e	3	42	37
e	3	43	56
e	3	44	-77
e	3	45	9
e	3	47	27
e	3	48	5
e	3	49	-97
e	3	51	-91
e	3	52	7
e	3	53	-90
e	3	54	20
e	3	55	19
e	3	58	-56
e	3	60	-66
e	3	61	-72
e	3	64	-35
e	3	65	-52
e	3	70	-59
e	3	71	77
e	3	76	-37
e	3	77	-70
e	3	80	33
e	3	81	2
e	3	84	55
e	3	85	70
e	3	86	65
e	3	89	-29
e	3	92	67
e	3	94	64
e	3	96	59
e	3	98	46
e	3	100	46
e	4	5	55
e	4	9	29
e	4	11	52
e	4	12	97
e	4	14	21
e	4	18	60
e	4	22	61
e	4	23	78
e	4	26	81
e	4	28	-21
e	4	31	-100
e	4	32	-72
e	4	33	94
e	4	34	-11
e	4	35	6
e	4	37	91
e	4	38	13
e	4	39	-55
e	4	42	-13
e	4	43	-9
e	4	44	29
e	4	45	-25
e	4	46	-20
e	4	47	-10
e	4	48	-25
e	4	50	86
e	4	61	-81
e	4	63	12
e	4	64	-6
e	4	67	-38
e	4	69	64
e	4	70	1
e	4	71	-1
e	4	74	42
e	4	78	22
e	4	80	-50
e	4	81	81
e	4	86	-70
e	4	87	67
e	4	88	-17
e	4	92	69
e	4	93	-27
e	4	95	-28
e	4	97	3
e	5	8	-32
e	5	10	29
e	5	11	-16
e	5	12	90
e	5	13	-27
e	5	15	84
e	5	16	31
e	5	20	70
e	5	28	-21
e	5	29	-44
e	5	32	34
e	5	33	-65
e	5	34	-13
e	5	38	95
e	5	41	26
e	5	42	88
e	5	43	21
e	5	48	48
e	5	49	97
e	5	50	6
e	5	55	63
e	5	56	-56
e	5	58	47
e	5	61	71
e	5	62	-63
e	5	65	-70
e	5	67	45
e	5	69	-68
e	5	71	58
e	5	76	-63
e	5	77	-38
e	5	79	92
e	5	81	1
e	5	82	-9
e	5	85	-28
e	5	89	-53
e	5	90	-36
e	5	91	-89
e	5	92	-57
e	5	93	-43
e	5	95	-17
e	5	97	-81
e	5	99	80
e	5	100	4
e	6	9	-21
e	6	10	-32
e	6	12	25
e	6	14	4
e	6	17	-80
e	6	20	-20
e	6	21	-59
e	6	23	5
e	6	25	7
e	6	26	41
e	6	27	-27
e	6	31	46
e	6	34	-89
e	6	35	-54
e	6	36	-91
e	6	38	-71
e	6	39	85
e	6	41	41
e	6	42	-3
e	6	43	-92
e	6	47	94
e	6	48	74
e	6	49	-73
e	6	50	-72
e	6	52	79
e	6	53	88
e	6	54	52
e	6	55	-13
e	6	57	-38
e	6	58	-67
e	6	59	100
e	6	60	68
e	6	62	-80
e	6	65	58
e	6	66	-63
e	6	67	25
e	6	68	48
e	6	70	-61
e	6	72	-20
e	6	76	4
e	6	77	85
e	6	81	-16
e	6	85	40
e	6	86	84
e	6	88	-63
e	6	98	98
e	6	99	81
e	7	8	65
e	7	11	24
e	7	12	1
e	7	13	77
e	7	16	-53
e	7	17	-66
e	7	19	36
e	7	20	-32
e	7	21	39
e	7	24	-37
e	7	26	-52
e	7	28	14
e	7	31	-50
e	7	33	-35
e	7	38	61
e	7	39	84
e	7	40	90
e	7	42	-66
e	7	44	4
e	7	46	-22
e	7	47	-98
e	7	48	-28
