n	200
e	1	2
e	1	5
e	1	9
e	1	10
e	1	12
e	1	14
e	1	15
e	1	17
e	1	19
e	1	20
e	1	21
e	1	22
e	1	23
e	1	26
e	1	28
e	1	30
e	1	31
e	1	34
e	1	35
e	1	37
e	1	42
e	1	43
e	1	47
e	1	49
e	1	50
e	1	51
e	1	52
e	1	53
e	1	54
e	1	56
e	1	57
e	1	60
e	1	61
e	1	64
e	1	65
e	1	67
e	1	73
e	1	74
e	1	75
e	1	76
e	1	79
e	1	81
e	1	83
e	1	86
e	1	87
e	1	89
e	1	92
e	1	93
e	1	94
e	1	97
e	1	98
e	1	99
e	1	103
e	1	105
e	1	106
e	1	107
e	1	108
e	1	109
e	1	111
e	1	115
e	1	121
e	1	128
e	1	129
e	1	136
e	1	137
e	1	139
e	1	140
e	1	141
e	1	153
e	1	154
e	1	156
e	1	157
e	1	160
e	1	161
e	1	162
e	1	163
e	1	164
e	1	165
e	1	166
e	1	169
e	1	172
e	1	173
e	1	175
e	1	176
e	1	177
e	1	185
e	1	186
e	1	188
e	1	190
e	1	191
e	1	192
e	1	194
e	1	195
e	1	196
e	1	197
e	1	200
e	2	3
e	2	4
e	2	7
e	2	8
e	2	11
e	2	12
e	2	14
e	2	16
e	2	17
e	2	18
e	2	20
e	2	22
e	2	23
e	2	24
e	2	25
e	2	27
e	2	29
e	2	33
e	2	37
e	2	38
e	2	46
e	2	47
e	2	49
e	2	54
e	2	55
e	2	56
e	2	57
e	2	59
e	2	61
e	2	71
e	2	73
e	2	74
e	2	75
e	2	76
e	2	78
e	2	79
e	2	80
e	2	82
e	2	83
e	2	87
e	2	89
e	2	93
e	2	95
e	2	96
e	2	103
e	2	104
e	2	106
e	2	107
e	2	110
e	2	112
e	2	114
e	2	115
e	2	116
e	2	117
e	2	119
e	2	121
e	2	124
e	2	126
e	2	127
e	2	129
e	2	130
e	2	131
e	2	137
e	2	139
e	2	140
e	2	141
e	2	143
e	2	144
e	2	147
e	2	148
e	2	149
e	2	151
e	2	152
e	2	154
e	2	155
e	2	156
e	2	159
e	2	160
e	2	161
e	2	163
e	2	164
e	2	165
e	2	167
e	2	168
e	2	169
e	2	172
e	2	173
e	2	174
e	2	175
e	2	177
e	2	178
e	2	179
e	2	181
e	2	187
e	2	188
e	2	189
e	2	190
e	2	192
e	2	193
e	2	195
e	2	196
e	3	4
e	3	5
e	3	8
e	3	10
e	3	12
e	3	14
e	3	17
e	3	19
e	3	20
e	3	21
e	3	22
e	3	23
e	3	24
e	3	26
e	3	28
e	3	31
e	3	33
e	3	37
e	3	39
e	3	42
e	3	43
e	3	50
e	3	51
e	3	54
e	3	55
e	3	56
e	3	57
e	3	59
e	3	60
e	3	62
e	3	64
e	3	67
e	3	71
e	3	72
e	3	73
e	3	75
e	3	78
e	3	81
e	3	83
e	3	84
e	3	85
e	3	86
e	3	87
e	3	89
e	3	90
e	3	92
e	3	95
e	3	97
e	3	100
e	3	102
e	3	103
e	3	104
e	3	105
e	3	107
e	3	109
e	3	110
e	3	112
e	3	116
e	3	118
e	3	119
e	3	120
e	3	122
e	3	124
e	3	125
e	3	126
e	3	128
e	3	130
e	3	131
e	3	132
e	3	135
e	3	136
e	3	141
e	3	144
e	3	146
e	3	152
e	3	153
e	3	154
e	3	155
e	3	157
e	3	158
e	3	160
e	3	162
e	3	167
e	3	168
e	3	169
e	3	170
e	3	173
e	3	175
e	3	176
e	3	177
e	3	178
e	3	180
e	3	186
e	3	189
e	3	190
e	3	193
e	3	194
e	3	195
e	3	197
e	3	198
e	3	199
e	3	200
e	4	11
e	4	12
e	4	13
e	4	14
e	4	15
e	4	16
e	4	17
e	4	18
e	4	20
e	4	21
e	4	25
e	4	26
e	4	27
e	4	28
e	4	30
e	4	31
e	4	32
e	4	33
e	4	35
e	4	37
e	4	38
e	4	41
e	4	42
e	4	44
e	4	45
e	4	46
e	4	47
e	4	48
e	4	49
e	4	50
e	4	51
e	4	52
e	4	54
e	4	55
e	4	56
e	4	57
e	4	60
e	4	68
e	4	69
e	4	70
e	4	71
e	4	77
e	4	79
e	4	81
e	4	82
e	4	84
e	4	85
e	4	86
e	4	90
e	4	91
e	4	93
e	4	97
e	4	100
e	4	102
e	4	106
e	4	108
e	4	114
e	4	115
e	4	116
e	4	118
e	4	120
e	4	122
e	4	126
e	4	128
e	4	130
e	4	135
e	4	137
e	4	139
e	4	143
e	4	144
e	4	147
e	4	150
e	4	152
e	4	154
e	4	155
e	4	157
e	4	162
e	4	163
e	4	164
e	4	166
e	4	173
e	4	174
e	4	175
e	4	176
e	4	177
e	4	179
e	4	180
e	4	181
e	4	182
e	4	183
e	4	184
e	4	185
e	4	186
e	4	187
e	4	188
e	4	189
e	4	195
e	4	196
e	4	197
e	4	200
e	5	7
e	5	11
e	5	13
e	5	20
e	5	21
e	5	23
e	5	26
e	5	27
e	5	28
e	5	29
e	5	30
e	5	31
e	5	32
e	5	36
e	5	38
e	5	39
e	5	40
e	5	41
e	5	42
e	5	44
e	5	45
e	5	49
e	5	53
e	5	55
e	5	56
e	5	57
e	5	58
e	5	59
e	5	60
e	5	61
e	5	63
e	5	68
e	5	69
e	5	70
e	5	73
e	5	76
e	5	78
e	5	80
e	5	81
e	5	83
e	5	85
e	5	88
e	5	92
e	5	94
e	5	96
e	5	99
e	5	102
e	5	103
e	5	106
e	5	107
e	5	111
e	5	113
e	5	116
e	5	119
e	5	120
e	5	121
e	5	125
e	5	126
e	5	128
e	5	130
e	5	132
e	5	135
e	5	136
e	5	138
e	5	141
e	5	142
e	5	144
e	5	146
e	5	149
e	5	152
e	5	153
e	5	155
e	5	156
e	5	159
e	5	160
e	5	163
e	5	166
e	5	167
e	5	168
e	5	169
e	5	170
e	5	173
e	5	174
e	5	175
e	5	176
e	5	179
e	5	180
e	5	185
e	5	186
e	5	191
e	5	194
e	5	195
e	5	196
e	5	199
e	6	9
e	6	14
e	6	16
e	6	17
e	6	19
e	6	21
e	6	26
e	6	27
e	6	29
e	6	30
e	6	31
e	6	32
e	6	37
e	6	39
e	6	41
e	6	43
e	6	45
e	6	46
e	6	47
e	6	49
e	6	50
e	6	51
e	6	53
e	6	55
e	6	59
e	6	62
e	6	63
e	6	64
e	6	66
e	6	67
e	6	69
e	6	71
e	6	72
e	6	73
e	6	74
e	6	75
e	6	76
e	6	77
e	6	78
e	6	79
e	6	80
e	6	83
e	6	86
e	6	88
e	6	91
e	6	93
e	6	94
e	6	99
e	6	100
e	6	102
e	6	104
e	6	105
e	6	106
e	6	107
e	6	108
e	6	109
e	6	110
e	6	111
e	6	114
e	6	124
e	6	127
e	6	129
e	6	134
e	6	140
e	6	141
e	6	142
e	6	144
e	6	145
e	6	146
e	6	147
e	6	148
e	6	152
e	6	153
e	6	155
e	6	158
e	6	159
e	6	160
e	6	161
e	6	166
e	6	167
e	6	168
e	6	169
e	6	172
e	6	173
e	6	174
e	6	181
e	6	182
e	6	183
e	6	186
e	6	189
e	6	190
e	6	192
e	6	193
e	6	197
e	6	199
e	7	10
e	7	11
e	7	15
e	7	16
e	7	19
e	7	20
e	7	26
e	7	27
e	7	30
e	7	31
e	7	32
e	7	33
e	7	36
e	7	40
e	7	42
e	7	43
e	7	44
e	7	47
e	7	49
e	7	50
e	7	51
e	7	53
e	7	55
e	7	56
e	7	59
e	7	61
e	7	62
e	7	63
e	7	64
e	7	65
e	7	66
e	7	68
e	7	69
e	7	70
e	7	71
e	7	72
e	7	73
e	7	78
e	7	79
e	7	80
e	7	81
e	7	82
e	7	83
e	7	85
e	7	87
e	7	88
e	7	89
e	7	91
e	7	92
e	7	93
e	7	94
e	7	95
e	7	96
e	7	99
e	7	100
e	7	103
e	7	104
e	7	107
e	7	109
e	7	110
e	7	113
e	7	114
e	7	118
e	7	120
e	7	122
e	7	123
e	7	124
e	7	130
e	7	131
e	7	132
e	7	133
e	7	137
e	7	139
e	7	140
e	7	141
e	7	142
e	7	144
e	7	145
e	7	146
e	7	148
e	7	151
e	7	154
e	7	155
e	7	158
e	7	159
e	7	161
e	7	162
e	7	163
e	7	164
e	7	166
e	7	168
e	7	169
e	7	170
e	7	171
e	7	173
e	7	176
e	7	177
e	7	180
e	7	181
e	7	183
e	7	187
e	7	188
e	7	189
e	7	190
e	7	191
e	7	193
e	7	196
e	8	9
e	8	12
e	8	14
e	8	15
e	8	16
e	8	21
e	8	22
e	8	23
e	8	27
e	8	28
e	8	29
e	8	38
e	8	39
e	8	40
e	8	43
e	8	44
e	8	45
e	8	46
e	8	47
e	8	50
e	8	51
e	8	54
e	8	57
e	8	61
e	8	62
e	8	63
e	8	65
e	8	66
e	8	67
e	8	70
e	8	72
e	8	73
e	8	78
e	8	84
e	8	87
e	8	88
e	8	89
e	8	90
e	8	92
e	8	95
e	8	98
e	8	99
e	8	102
e	8	104
e	8	106
e	8	114
e	8	117
e	8	118
e	8	121
e	8	122
e	8	125
e	8	127
e	8	128
e	8	129
e	8	130
e	8	131
e	8	135
e	8	137
e	8	138
e	8	141
e	8	144
e	8	147
e	8	149
e	8	150
e	8	151
e	8	155
e	8	157
e	8	158
e	8	160
e	8	161
e	8	162
e	8	164
e	8	165
e	8	169
e	8	171
e	8	172
e	8	174
e	8	175
e	8	176
e	8	178
e	8	179
e	8	180
e	8	182
e	8	183
e	8	184
e	8	185
e	8	187
e	8	190
e	8	197
e	8	198
e	9	10
e	9	13
e	9	14
e	9	18
e	9	24
e	9	25
e	9	27
e	9	31
e	9	33
e	9	34
e	9	35
e	9	36
e	9	42
e	9	44
e	9	46
e	9	47
e	9	48
e	9	49
e	9	56
e	9	63
e	9	64
e	9	73
e	9	74
e	9	76
e	9	78
e	9	79
e	9	84
e	9	89
e	9	90
e	9	94
e	9	96
e	9	97
e	9	98
e	9	99
e	9	101
e	9	102
e	9	104
e	9	105
e	9	107
e	9	110
e	9	111
e	9	114
e	9	119
e	9	120
e	9	121
e	9	125
e	9	126
e	9	129
e	9	136
e	9	141
e	9	142
e	9	143
e	9	145
e	9	147
e	9	156
e	9	160
e	9	161
e	9	164
e	9	166
e	9	169
e	9	170
e	9	173
e	9	176
e	9	177
e	9	179
e	9	184
e	9	185
e	9	190
e	9	193
e	9	194
e	9	195
e	9	198
e	9	199
e	9	200
e	10	14
e	10	15
e	10	17
e	10	18
e	10	20
e	10	21
e	10	26
e	10	31
e	10	34
e	10	36
e	10	37
e	10	38
e	10	40
e	10	41
e	10	42
e	10	43
e	10	45
e	10	49
e	10	50
e	10	53
e	10	56
e	10	58
e	10	60
e	10	64
e	10	65
e	10	66
e	10	67
e	10	68
e	10	71
e	10	73
e	10	74
e	10	76
e	10	80
e	10	82
e	10	84
e	10	86
e	10	88
e	10	91
e	10	92
e	10	96
e	10	97
e	10	101
e	10	104
e	10	107
e	10	108
e	10	111
e	10	113
e	10	118
e	10	119
e	10	120
e	10	121
e	10	124
e	10	128
e	10	132
e	10	133
e	10	136
e	10	140
e	10	141
e	10	142
e	10	143
e	10	144
e	10	145
e	10	147
e	10	148
e	10	150
e	10	151
e	10	153
e	10	155
e	10	157
e	10	158
e	10	159
e	10	160
e	10	161
e	10	162
e	10	163
e	10	164
e	10	169
e	10	175
e	10	176
e	10	177
e	10	178
e	10	183
e	10	186
e	10	190
e	10	191
e	10	193
e	10	195
e	10	197
e	10	199
e	11	13
e	11	14
e	11	16
e	11	17
e	11	22
e	11	23
e	11	24
e	11	31
e	11	32
e	11	33
e	11	34
e	11	37
e	11	41
e	11	43
e	11	46
e	11	49
e	11	50
e	11	51
e	11	52
e	11	53
e	11	54
e	11	56
e	11	58
e	11	59
e	11	65
e	11	66
e	11	70
e	11	74
e	11	76
e	11	77
e	11	78
e	11	85
e	11	86
e	11	88
e	11	92
e	11	93
e	11	95
e	11	97
e	11	99
e	11	100
e	11	102
e	11	103
e	11	107
e	11	108
e	11	110
e	11	113
e	11	116
e	11	117
e	11	118
e	11	120
e	11	122
e	11	123
e	11	125
e	11	130
e	11	131
e	11	134
e	11	136
e	11	144
e	11	148
e	11	149
e	11	150
e	11	152
e	11	158
e	11	160
e	11	162
e	11	163
e	11	168
e	11	169
e	11	170
e	11	175
e	11	176
e	11	178
e	11	179
e	11	180
e	11	181
e	11	184
e	11	186
e	11	189
e	11	190
e	11	192
e	11	194
e	11	196
e	11	197
e	11	200
e	12	13
e	12	15
e	12	19
e	12	22
e	12	24
e	12	25
e	12	26
e	12	30
e	12	33
e	12	34
e	12	35
e	12	36
e	12	38
e	12	39
e	12	40
e	12	41
e	12	43
e	12	45
e	12	46
e	12	51
e	12	53
e	12	60
e	12	61
e	12	64
e	12	65
e	12	66
e	12	68
e	12	69
e	12	70
e	12	72
e	12	79
e	12	80
e	12	81
e	12	82
e	12	84
e	12	85
e	12	87
e	12	92
e	12	100
e	12	104
e	12	105
e	12	106
e	12	108
e	12	109
e	12	110
e	12	112
e	12	113
e	12	117
e	12	118
e	12	119
e	12	121
e	12	123
e	12	127
e	12	128
e	12	135
e	12	138
e	12	140
e	12	142
e	12	145
e	12	146
e	12	152
e	12	155
e	12	157
e	12	158
e	12	166
e	12	169
e	12	170
e	12	173
e	12	176
e	12	178
e	12	183
e	12	184
e	12	186
e	12	187
e	12	189
e	12	193
e	12	195
e	12	196
e	12	198
e	12	200
e	13	16
e	13	18
e	13	21
e	13	22
e	13	24
e	13	26
e	13	27
e	13	28
e	13	30
e	13	31
e	13	32
e	13	41
e	13	42
e	13	46
e	13	47
e	13	53
e	13	56
e	13	58
e	13	59
e	13	62
e	13	63
e	13	69
e	13	72
e	13	73
e	13	75
e	13	78
e	13	82
e	13	83
e	13	86
e	13	87
e	13	89
e	13	90
e	13	91
e	13	92
e	13	93
e	13	96
e	13	98
e	13	99
e	13	100
e	13	101
e	13	103
e	13	104
e	13	106
e	13	110
e	13	111
e	13	116
e	13	117
e	13	118
e	13	122
e	13	123
e	13	126
e	13	127
e	13	129
e	13	130
e	13	137
e	13	139
e	13	143
e	13	145
e	13	146
e	13	147
e	13	148
e	13	150
e	13	151
e	13	153
e	13	154
e	13	155
e	13	156
e	13	157
e	13	158
e	13	161
e	13	162
e	13	163
e	13	164
e	13	170
e	13	171
e	13	173
e	13	174
e	13	176
e	13	181
e	13	184
e	13	186
e	13	187
e	13	189
e	13	190
e	13	191
e	13	192
e	13	193
e	13	194
e	13	195
e	13	198
e	13	200
e	14	15
e	14	16
e	14	18
e	14	19
e	14	21
e	14	22
e	14	23
e	14	26
e	14	28
e	14	29
e	14	30
e	14	32
e	14	33
e	14	34
e	14	39
e	14	41
e	14	44
e	14	45
e	14	46
e	14	47
e	14	48
e	14	50
e	14	51
e	14	53
e	14	54
e	14	55
e	14	58
e	14	60
e	14	61
e	14	62
e	14	63
e	14	66
e	14	70
e	14	72
e	14	73
e	14	75
e	14	80
e	14	81
e	14	82
e	14	84
e	14	85
e	14	86
e	14	88
e	14	91
e	14	92
e	14	95
e	14	96
e	14	97
e	14	99
e	14	100
e	14	102
e	14	106
e	14	108
e	14	109
e	14	111
e	14	115
e	14	116
e	14	124
e	14	126
e	14	127
e	14	132
e	14	134
e	14	135
e	14	137
e	14	138
e	14	142
e	14	143
e	14	144
e	14	147
e	14	150
e	14	156
e	14	157
e	14	158
e	14	160
e	14	161
e	14	162
e	14	164
e	14	166
e	14	167
e	14	168
e	14	171
e	14	172
e	14	173
e	14	175
e	14	178
e	14	179
e	14	181
e	14	182
e	14	184
e	14	185
e	14	187
e	14	191
e	14	192
e	14	197
e	14	198
e	15	17
e	15	19
e	15	20
e	15	21
e	15	23
e	15	26
e	15	27
e	15	28
e	15	31
e	15	32
e	15	34
e	15	36
e	15	39
e	15	40
e	15	43
e	15	44
e	15	45
e	15	47
e	15	48
e	15	50
e	15	56
e	15	58
e	15	59
e	15	61
e	15	62
e	15	63
e	15	65
e	15	69
e	15	70
e	15	73
e	15	76
e	15	77
e	15	81
e	15	82
e	15	83
e	15	84
e	15	86
e	15	88
e	15	89
e	15	90
e	15	91
e	15	92
e	15	94
e	15	97
e	15	99
e	15	100
e	15	103
e	15	108
e	15	109
e	15	111
e	15	112
e	15	114
e	15	116
e	15	118
e	15	119
e	15	121
e	15	122
e	15	123
e	15	124
e	15	126
e	15	128
e	15	130
e	15	132
e	15	133
e	15	134
e	15	135
e	15	137
e	15	139
e	15	140
e	15	141
e	15	144
e	15	145
e	15	153
e	15	154
e	15	155
e	15	157
e	15	158
e	15	159
e	15	161
e	15	162
e	15	164
e	15	165
e	15	166
e	15	167
e	15	168
e	15	174
e	15	175
e	15	176
e	15	179
e	15	180
e	15	181
e	15	182
e	15	183
e	15	184
e	15	190
e	15	191
e	15	193
e	15	197
e	15	198
e	16	17
e	16	19
e	16	21
e	16	22
e	16	23
e	16	25
e	16	27
e	16	28
e	16	29
e	16	31
e	16	36
e	16	39
e	16	41
e	16	43
e	16	45
e	16	46
e	16	51
e	16	53
e	16	56
e	16	57
e	16	58
e	16	62
e	16	63
e	16	66
e	16	67
e	16	73
e	16	74
e	16	76
e	16	78
e	16	79
e	16	80
e	16	81
e	16	85
e	16	87
e	16	90
e	16	91
e	16	104
e	16	105
e	16	108
e	16	110
e	16	113
e	16	117
e	16	120
e	16	122
e	16	124
e	16	129
e	16	130
e	16	131
e	16	132
e	16	135
e	16	136
e	16	138
e	16	139
e	16	142
e	16	143
e	16	144
e	16	145
e	16	146
e	16	147
e	16	148
e	16	151
e	16	152
e	16	153
e	16	157
e	16	160
e	16	162
e	16	164
e	16	165
e	16	167
e	16	170
e	16	171
e	16	174
e	16	175
e	16	176
e	16	178
e	16	181
e	16	182
e	16	183
e	16	187
e	16	188
e	16	189
e	16	191
e	16	192
e	16	193
e	16	197
e	16	198
e	16	199
e	16	200
e	17	19
e	17	24
e	17	25
e	17	26
e	17	27
e	17	33
e	17	34
e	17	36
e	17	40
e	17	41
e	17	43
e	17	49
e	17	51
e	17	52
e	17	54
e	17	57
e	17	60
e	17	61
e	17	62
e	17	65
e	17	66
e	17	67
e	17	68
e	17	69
e	17	72
e	17	74
e	17	75
e	17	77
e	17	78
e	17	80
e	17	81
e	17	82
e	17	92
e	17	93
e	17	95
e	17	96
e	17	97
e	17	100
e	17	101
e	17	104
e	17	106
e	17	107
e	17	109
e	17	111
e	17	113
e	17	114
e	17	116
e	17	119
e	17	121
e	17	123
e	17	124
e	17	132
e	17	134
e	17	135
e	17	136
e	17	137
e	17	138
e	17	142
e	17	143
e	17	144
e	17	145
e	17	146
e	17	150
e	17	152
e	17	154
e	17	155
e	17	157
e	17	158
e	17	159
e	17	160
e	17	161
e	17	163
e	17	164
e	17	167
e	17	170
e	17	171
e	17	173
e	17	175
e	17	176
e	17	180
e	17	183
e	17	184
e	17	185
e	17	186
e	17	187
e	17	190
e	17	191
e	17	192
e	17	193
e	17	194
e	17	195
e	17	199
e	18	19
e	18	22
e	18	23
e	18	24
e	18	26
e	18	29
e	18	31
e	18	32
e	18	35
e	18	39
e	18	41
e	18	42
e	18	43
e	18	46
e	18	48
e	18	49
e	18	50
e	18	52
e	18	53
e	18	55
e	18	57
e	18	58
e	18	62
e	18	63
e	18	65
e	18	66
e	18	67
e	18	70
e	18	71
e	18	73
e	18	75
e	18	78
e	18	79
e	18	81
e	18	83
e	18	85
e	18	86
e	18	87
e	18	88
e	18	91
e	18	92
e	18	93
e	18	97
e	18	98
e	18	101
e	18	102
e	18	103
e	18	104
e	18	105
e	18	107
e	18	113
e	18	115
e	18	116
e	18	117
e	18	119
e	18	120
e	18	121
e	18	122
e	18	124
e	18	126
e	18	128
e	18	129
e	18	130
e	18	131
e	18	133
e	18	135
e	18	136
e	18	138
e	18	139
e	18	140
e	18	142
e	18	144
e	18	145
e	18	146
e	18	148
e	18	150
e	18	152
e	18	153
e	18	155
e	18	159
e	18	164
e	18	165
e	18	166
e	18	168
e	18	169
e	18	170
e	18	171
e	18	172
e	18	173
e	18	175
e	18	177
e	18	179
e	18	180
e	18	182
e	18	188
e	18	189
e	18	191
e	18	192
e	18	195
e	18	199
e	18	200
e	19	23
e	19	24
e	19	26
e	19	27
e	19	28
e	19	31
e	19	33
e	19	36
e	19	41
e	19	42
e	19	43
e	19	48
e	19	51
e	19	53
e	19	54
e	19	56
e	19	57
e	19	58
e	19	60
e	19	61
e	19	64
e	19	66
